id,name,symbol,slug,isActive,isFiat,circulatingSupply,maxSupply,dateAdded,numMarketPairs,rank,lastUpdated,tags,price,volume24,volumeChange24,percentChangeHr,percentChange24,percentChangeWk,percentChange30Day,marketCap,marketCapDominance,fullyDilutedMarketCap,lastUpdated
1,Bitcoin,BTC,bitcoin,FALSE,FALSE,19240831,2.10E+07,2013-04-28T00:00,9904,1,2022-12-22T20:46,"[[""mineable""::""pow""::""sha-256""::""store-of-value""::""state-channel""::""coinbase-ventures-portfolio""::""three-arrows-capital-portfolio""::""polychain-capital-portfolio""::""binance-labs-portfolio""::""blockchain-capital-portfolio""::""boostvc-portfolio""::""cms-holdings-portfolio""::""dcg-portfolio""::""dragonfly-capital-portfolio""::""electric-capital-portfolio""::""fabric-ventures-portfolio""::""framework-ventures-portfolio""::""galaxy-digital-portfolio""::""huobi-capital-portfolio""::""alameda-research-portfolio""::""a16z-portfolio""::""1confirmation-portfolio""::""winklevoss-capital-portfolio""::""usv-portfolio""::""placeholder-ventures-portfolio""::""pantera-capital-portfolio""::""multicoin-capital-portfolio""::""paradigm-portfolio""]]",16770.9839,1.61E+10,5.2265,0.6946724,-0.06700796,-3.791619,0,3.23E+11,39,3.52E+11,2022-12-22T20:46
1027,Ethereum,ETH,ethereum,FALSE,FALSE,122373866,0,2015-08-07T00:00,6315,2,2022-12-22T20:46,"[[""pos""::""smart-contracts""::""ethereum-ecosystem""::""coinbase-ventures-portfolio""::""three-arrows-capital-portfolio""::""polychain-capital-portfolio""::""binance-labs-portfolio""::""blockchain-capital-portfolio""::""boostvc-portfolio""::""cms-holdings-portfolio""::""dcg-portfolio""::""dragonfly-capital-portfolio""::""electric-capital-portfolio""::""fabric-ventures-portfolio""::""framework-ventures-portfolio""::""hashkey-capital-portfolio""::""kenetic-capital-portfolio""::""huobi-capital-portfolio""::""alameda-research-portfolio""::""a16z-portfolio""::""1confirmation-portfolio""::""winklevoss-capital-portfolio""::""usv-portfolio""::""placeholder-ventures-portfolio""::""pantera-capital-portfolio""::""multicoin-capital-portfolio""::""paradigm-portfolio""::""injective-ecosystem""]]",1216.427829,5.11E+09,18.6042,1.9164569,0.5364791,-4.497769,0,1.49E+11,18,1.49E+11,2022-12-22T20:46
825,Tether,USDT,tether,FALSE,FALSE,1823187650,0,2015-02-25T00:00,45463,3,2022-12-22T20:46,"[[""payments""::""stablecoin""::""asset-backed-stablecoin""::""avalanche-ecosystem""::""solana-ecosystem""::""arbitrum-ecosytem""::""moonriver-ecosystem""::""injective-ecosystem""::""bnb-chain""::""usd-stablecoin""]]",0.999990945,1.98E+10,4.7025,-0.00209504,-0.00858696,-0.00903868,0,6.62E+10,8,7.31E+10,2022-12-22T20:46
3408,USD Coin,USDC,usd-coin,FALSE,FALSE,1249719568,0,2018-10-08T00:00,9208,4,2022-12-22T20:46,"[[""medium-of-exchange""::""stablecoin""::""asset-backed-stablecoin""::""fantom-ecosystem""::""arbitrum-ecosytem""::""moonriver-ecosystem""::""bnb-chain""::""usd-stablecoin""]]",1.000108125,1.84E+09,-6.5805,0.00755293,0.01144086,0.01148343,0,4.42E+10,5,4.42E+10,2022-12-22T20:46
1839,BNB,BNB,bnb,FALSE,FALSE,159966337,2.00E+08,2017-07-25T00:00,1160,5,2022-12-22T20:46,"[[""marketplace""::""centralized-exchange""::""payments""::""smart-contracts""::""alameda-research-portfolio""::""multicoin-capital-portfolio""::""bnb-chain""]]",244.9651559,5.42E+08,12.341,0.99939466,-0.7366515,-6.1437473,0,3.92E+10,4,4.90E+10,2022-12-22T20:46
4687,Binance USD,BUSD,binance-usd,FALSE,FALSE,802315448,0,2019-09-20T00:00,5888,6,2022-12-22T20:46,"[[""stablecoin""::""asset-backed-stablecoin""::""binance-chain""::""harmony-ecosystem""::""moonriver-ecosystem""::""usd-stablecoin""]]",1.000005265,4.01E+09,4.4733,-0.04102405,-0.00550944,0.01427944,0,1.80E+10,2,1.80E+10,2022-12-22T20:46
52,XRP,XRP,xrp,FALSE,FALSE,-1196107046,1.00E+11,2013-08-04T00:00,869,7,2022-12-22T20:46,"[[""medium-of-exchange""::""enterprise-solutions""::""arrington-xrp-capital-portfolio""::""galaxy-digital-portfolio""::""a16z-portfolio""::""pantera-capital-portfolio""]]",0.346991121,6.77E+08,-12.539,1.0166434,1.0045073,-8.277531,0,1.75E+10,2,3.47E+10,2022-12-22T20:46
74,Dogecoin,DOGE,dogecoin,FALSE,FALSE,-473221877,0,2013-12-15T00:00,626,8,2022-12-22T20:46,"[[""mineable""::""pow""::""scrypt""::""medium-of-exchange""::""memes""::""payments""::""doggone-doggerel""::""bnb-chain""]]",0.076624124,5.57E+08,55.2424,1.4387748,4.7152014,-10.930498,0,1.02E+10,1,1.02E+10,2022-12-22T20:46
2010,Cardano,ADA,cardano,FALSE,FALSE,137260964,4.50E+10,2017-10-01T00:00,619,9,2022-12-22T20:46,"[[""dpos""::""pos""::""platform""::""research""::""smart-contracts""::""staking""::""cardano-ecosystem""::""cardano""]]",0.254568733,1.66E+08,-20.1907,1.4578476,1.6106703,-15.562048,0,8.78E+09,1,1.15E+10,2022-12-22T20:46
3890,Polygon,MATIC,polygon,FALSE,FALSE,144382883,1.00E+10,2019-04-28T00:00,560,10,2022-12-22T20:46,"[[""platform""::""enterprise-solutions""::""scaling""::""state-channel""::""coinbase-ventures-portfolio""::""binance-launchpad""::""binance-labs-portfolio""::""polygon-ecosystem""::""moonriver-ecosystem""::""injective-ecosystem""]]",0.791117773,1.95E+08,-0.834,1.7241876,0.26247218,-10.521737,0,6.91E+09,0,7.91E+09,2022-12-22T20:46
4943,Dai,DAI,multi-collateral-dai,FALSE,FALSE,1567029471,0,2019-11-22T00:00,1756,11,2022-12-22T20:46,"[[""defi""::""stablecoin""::""asset-backed-stablecoin""::""ethereum-ecosystem""::""avalanche-ecosystem""::""polygon-ecosystem""::""fantom-ecosystem""::""arbitrum-ecosytem""::""harmony-ecosystem""::""moonriver-ecosystem""::""bnb-chain""::""usd-stablecoin""]]",1.000107671,1.42E+08,5.9379,-0.01827894,0.03373313,0.05111909,0,5.86E+09,0,5.86E+09,2022-12-22T20:46
6636,Polkadot,DOT,polkadot-new,FALSE,FALSE,1149824581,0,2020-08-19T00:00,450,12,2022-12-22T20:46,"[[""substrate""::""polkadot""::""binance-chain""::""polkadot-ecosystem""::""three-arrows-capital-portfolio""::""polychain-capital-portfolio""::""arrington-xrp-capital-portfolio""::""blockchain-capital-portfolio""::""boostvc-portfolio""::""cms-holdings-portfolio""::""coinfund-portfolio""::""fabric-ventures-portfolio""::""fenbushi-capital-portfolio""::""hashkey-capital-portfolio""::""kenetic-capital-portfolio""::""1confirmation-portfolio""::""placeholder-ventures-portfolio""::""pantera-capital-portfolio""::""exnetwork-capital-portfolio""::""web3""::""spartan-group""::""injective-ecosystem""::""bnb-chain""]]",4.46859447,1.26E+08,3.2483,1.2405534,0.10356684,-14.161609,0,5.14E+09,0,5.66E+09,2022-12-22T20:46
1958,TRON,TRX,tron,FALSE,FALSE,1807594651,0,2017-09-13T00:00,716,13,2022-12-22T20:46,"[[""media""::""payments""::""tron-ecosystem""]]",0.05550826,1.57E+08,7.1755,0.8821379,1.5746524,-0.495697,0,5.11E+09,0,5.11E+09,2022-12-22T20:46
2,Litecoin,LTC,litecoin,FALSE,FALSE,71887480,8.40E+07,2013-04-28T00:00,864,14,2022-12-22T20:46,"[[""mineable""::""pow""::""scrypt""::""medium-of-exchange""]]",65.78930473,3.60E+08,-5.774,1.2037989,0.3124995,-9.818359,0,4.73E+09,0,5.53E+09,2022-12-22T20:46
5994,Shiba Inu,SHIB,shiba-inu,FALSE,FALSE,-1045277043,0,2020-08-01T00:00,470,15,2022-12-22T20:46,"[[""memes""::""ethereum-ecosystem""::""doggone-doggerel""]]",8.28E-06,9.09E+07,-3.6406,0.7211389,0.7516561,-6.7404466,0,4.55E+09,0,4.88E+09,2022-12-22T20:46
5426,Solana,SOL,solana,FALSE,FALSE,366822519,0,2020-04-10T00:00,413,16,2022-12-22T20:46,"[[""pos""::""platform""::""solana-ecosystem""::""cms-holdings-portfolio""::""kenetic-capital-portfolio""::""alameda-research-portfolio""::""multicoin-capital-portfolio""::""okex-blockdream-ventures-portfolio""]]",11.94978933,1.63E+08,0.349,1.1007109,-0.19242944,-15.575428,0,4.38E+09,0,6.41E+09,2022-12-22T20:46
7083,Uniswap,UNI,uniswap,FALSE,FALSE,762209326,1.00E+09,2020-09-17T00:00,587,17,2022-12-22T20:46,"[[""decentralized-exchange-dex-token""::""defi""::""dao""::""yield-farming""::""amm""::""coinbase-ventures-portfolio""::""three-arrows-capital-portfolio""::""governance""::""blockchain-capital-portfolio""::""defiance-capital-portfolio""::""alameda-research-portfolio""::""a16z-portfolio""::""pantera-capital-portfolio""::""parafi-capital""::""paradigm-portfolio""::""arbitrum-ecosytem""::""injective-ecosystem""]]",5.241781576,4.63E+07,9.2917,1.3764162,0.06486276,-10.415767,0,4.00E+09,0,5.24E+09,2022-12-22T20:46
5805,Avalanche,AVAX,avalanche,FALSE,FALSE,311160950,7.20E+08,2020-07-13T00:00,357,18,2022-12-22T20:46,"[[""defi""::""smart-contracts""::""three-arrows-capital-portfolio""::""polychain-capital-portfolio""::""avalanche-ecosystem""::""cms-holdings-portfolio""::""dragonfly-capital-portfolio""::""moonriver-ecosystem""::""injective-ecosystem""]]",11.75063131,1.03E+08,6.6992,1.1596409,0.19239055,-11.36745,0,3.66E+09,0,8.46E+09,2022-12-22T20:46
3957,UNUS SED LEO,LEO,unus-sed-leo,FALSE,FALSE,953954130,0,2019-05-21T00:00,23,19,2022-12-22T20:46,"[[""marketplace""::""centralized-exchange""::""discount-token""::""payments""::""kenetic-capital-portfolio""::""alameda-research-portfolio""]]",3.734718814,2355870.838,-3.1393,0.18760277,1.1119201,1.3411072,0,3.56E+09,0,3.68E+09,2022-12-22T20:46
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,FALSE,FALSE,184504,0,2019-01-30T00:00,819,20,2022-12-22T20:46,"[[""medium-of-exchange""::""defi""::""wrapped-tokens""::""fantom-ecosystem""::""arbitrum-ecosytem""::""moonriver-ecosystem""]]",16755.47739,1.04E+08,52.4966,0.8084354,0.02493647,-3.776344,0,3.09E+09,0,3.09E+09,2022-12-22T20:46
1975,Chainlink,LINK,chainlink,FALSE,FALSE,507999970,1.00E+09,2017-09-20T00:00,931,21,2022-12-22T20:46,"[[""platform""::""defi""::""oracles""::""smart-contracts""::""substrate""::""polkadot""::""polkadot-ecosystem""::""avalanche-ecosystem""::""solana-ecosystem""::""framework-ventures-portfolio""::""polygon-ecosystem""::""fantom-ecosystem""::""cardano-ecosystem""::""web3""::""near-protocol-ecosystem""::""arbitrum-ecosytem""::""cardano""::""injective-ecosystem""]]",5.962005422,1.67E+08,7.7536,0.95988387,0.8003916,-8.655659,0,3.03E+09,0,5.96E+09,2022-12-22T20:46
11419,Toncoin,TON,toncoin,FALSE,FALSE,1221401181,5.00E+09,2021-08-26T13:40:22,74,22,2022-12-22T20:46,"[[""pos""]]",2.3957497,5.29E+07,9.6967,2.8954985,-5.3898325,1.1928033,0,2.93E+09,0,1.20E+10,2022-12-22T20:46
328,Monero,XMR,monero,FALSE,FALSE,18217054,0,2014-05-21T00:00,201,23,2022-12-22T20:46,"[[""mineable""::""pow""::""medium-of-exchange""::""privacy""::""ringct""::""boostvc-portfolio""::""electric-capital-portfolio""::""galaxy-digital-portfolio""]]",146.5997992,6.31E+07,11.4875,0.98572344,-0.66472,-1.1646423,0,2.67E+09,0,2.67E+09,2022-12-22T20:46
3794,Cosmos,ATOM,cosmos,FALSE,FALSE,286370297,0,2019-03-14T00:00,377,24,2022-12-22T20:46,"[[""platform""::""cosmos-ecosystem""::""content-creation""::""interoperability""::""polychain-capital-portfolio""::""dragonfly-capital-portfolio""::""hashkey-capital-portfolio""::""1confirmation-portfolio""::""paradigm-portfolio""::""exnetwork-capital-portfolio""::""injective-ecosystem""]]",8.936174268,9.20E+07,9.4723,1.9991645,0.70497274,-6.519518,0,2.56E+09,0,0,2022-12-22T20:46
1321,Ethereum Classic,ETC,ethereum-classic,FALSE,FALSE,138528093,2.11E+08,2016-07-24T00:00,366,25,2022-12-22T20:46,"[[""mineable""::""pow""::""ethash""::""platform""::""smart-contracts""::""dcg-portfolio""]]",16.1625028,1.32E+08,-13.4837,1.0045046,-2.123276,-11.154858,0,2.24E+09,0,3.41E+09,2022-12-22T20:46
512,Stellar,XLM,stellar,FALSE,FALSE,339620151,5.00E+10,2014-08-05T00:00,471,26,2022-12-22T20:46,"[[""medium-of-exchange""::""enterprise-solutions""::""decentralized-exchange-dex-token""::""smart-contracts""::""hashkey-capital-portfolio""]]",0.075277484,3.45E+07,-10.049,1.1053262,1.3174999,-8.096494,0,1.97E+09,0,3.76E+09,2022-12-22T20:46
1831,Bitcoin Cash,BCH,bitcoin-cash,FALSE,FALSE,19263031,2.10E+07,2017-07-23T00:00,664,27,2022-12-22T20:46,"[[""mineable""::""pow""::""sha-256""::""marketplace""::""medium-of-exchange""::""store-of-value""::""enterprise-solutions""::""payments""]]",100.6571205,1.00E+08,-4.3675,0.80481136,0.49284393,-7.2648916,0,1.94E+09,0,2.11E+09,2022-12-22T20:46
3635,Cronos,CRO,cronos,FALSE,FALSE,-506790084,3.03E+10,2018-12-14T00:00,175,28,2022-12-22T20:46,"[[""medium-of-exchange""::""cosmos-ecosystem""::""centralized-exchange""::""mobile""::""payments""::""injective-ecosystem""]]",0.057443785,1.21E+07,-16.0921,1.1092097,0.94116366,-5.9565244,0,1.45E+09,0,1.74E+09,2022-12-22T20:46
3897,OKB,OKB,okb,FALSE,FALSE,60000000,0,2019-04-30T00:00,84,29,2022-12-22T20:46,"[[""marketplace""::""centralized-exchange""::""discount-token""::""alameda-research-portfolio""]]",21.80226015,1.92E+07,0.2201,-0.03648538,-3.1362877,-4.3760204,0,1.31E+09,0,6.54E+09,2022-12-22T20:46
18876,ApeCoin,APE,apecoin-ape,FALSE,FALSE,361250000,1.00E+09,2022-03-17T12:26:36,227,30,2022-12-22T20:46,"[[""collectibles-nfts""::""content-creation""::""gaming""::""entertainment""::""dao""::""governance""::""metaverse""::""animoca-brands-portfolio""]]",3.578997547,1.01E+08,1.0396,1.3712614,1.0855788,-11.445683,0,1.29E+09,0,3.58E+09,2022-12-22T20:46
3155,Quant,QNT,quant,FALSE,FALSE,12072738,1.46E+07,2018-08-10T00:00,132,31,2022-12-22T20:46,"[[""platform""::""interoperability""]]",104.1949392,2.02E+07,4.3762,1.6099021,0.26557478,-14.485279,0,1.26E+09,0,1.52E+09,2022-12-22T20:46
4030,Algorand,ALGO,algorand,FALSE,FALSE,-1455510458,1.00E+10,2019-06-20T00:00,273,32,2022-12-22T20:46,"[[""pos""::""platform""::""research""::""smart-contracts""::""arrington-xrp-capital-portfolio""::""kenetic-capital-portfolio""::""usv-portfolio""::""multicoin-capital-portfolio""::""exnetwork-capital-portfolio""]]",0.169540965,6.68E+07,59.5556,1.2641118,-1.916564,-21.356329,0,1.21E+09,0,1.70E+09,2022-12-22T20:46
3077,VeChain,VET,vechain,FALSE,FALSE,-503297614,8.67E+10,2017-08-22T00:00,212,33,2022-12-22T20:46,"[[""logistics""::""data-provenance""::""iot""::""smart-contracts""::""fenbushi-capital-portfolio""]]",0.016272582,2.63E+07,9.0101,1.2038486,-0.2174385,-10.738865,0,1.18E+09,0,1.41E+09,2022-12-22T20:46
6535,NEAR Protocol,NEAR,near-protocol,FALSE,FALSE,844123352,1.00E+09,2020-08-11T00:00,209,34,2022-12-22T20:46,"[[""platform""::""staking""::""coinbase-ventures-portfolio""::""three-arrows-capital-portfolio""::""arrington-xrp-capital-portfolio""::""coinfund-portfolio""::""electric-capital-portfolio""::""fabric-ventures-portfolio""::""kenetic-capital-portfolio""::""near-protocol-ecosystem""::""injective-ecosystem""]]",1.306783504,5.26E+07,-11.4581,1.9804327,1.9415323,-18.871998,0,1.10E+09,0,1.31E+09,2022-12-22T20:46
4642,Hedera,HBAR,hedera,FALSE,FALSE,-752284164,5.00E+10,2019-09-17T00:00,120,35,2022-12-22T20:46,"[[""dag""::""marketplace""::""enterprise-solutions""::""payments""::""dcg-portfolio""]]",0.042940793,1.27E+07,-6.7326,1.0990225,1.6878178,-5.5387096,0,1.07E+09,0,2.15E+09,2022-12-22T20:46
2280,Filecoin,FIL,filecoin,FALSE,FALSE,350970724,0,2017-12-13T00:00,266,36,2022-12-22T20:46,"[[""mineable""::""distributed-computing""::""filesharing""::""storage""::""polychain-capital-portfolio""::""blockchain-capital-portfolio""::""boostvc-portfolio""::""dcg-portfolio""::""hashkey-capital-portfolio""::""a16z-portfolio""::""winklevoss-capital-portfolio""::""pantera-capital-portfolio""::""web3""]]",2.953165015,8.71E+07,-5.6199,1.154412,-0.44883373,-28.57065,0,1.04E+09,0,1.04E+09,2022-12-22T20:46
8916,Internet Computer,ICP,internet-computer,FALSE,FALSE,279114053,0,2021-03-23T00:00,138,37,2022-12-22T20:46,"[[""platform""::""distributed-computing""::""smart-contracts""::""polychain-capital-portfolio""::""metaverse""::""electric-capital-portfolio""::""hashkey-capital-portfolio""::""a16z-portfolio""::""multicoin-capital-portfolio""::""exnetwork-capital-portfolio""::""web3""::""internet-computer-ecosystem""]]",3.712528137,1.56E+07,-2.1169,1.6374577,0.7617756,-6.824517,0,1.04E+09,0,1.83E+09,2022-12-22T20:46
1765,EOS,EOS,eos,FALSE,FALSE,1077692193,0,2017-07-01T00:00,502,38,2022-12-22T20:46,"[[""medium-of-exchange""::""enterprise-solutions""::""smart-contracts""::""fenbushi-capital-portfolio""::""galaxy-digital-portfolio""]]",0.878747256,7.82E+07,1.4447,1.4936255,-0.03353592,-8.347805,0,9.47E+08,0,9.47E+08,2022-12-22T20:46
3330,Pax Dollar,USDP,paxos-standard,FALSE,FALSE,945642940,0,2018-09-27T00:00,82,39,2022-12-22T20:46,"[[""store-of-value""::""stablecoin""::""asset-backed-stablecoin""::""bnb-chain""::""usd-stablecoin""]]",1.000654805,927049.9213,-19.8385,0.3219866,-0.20612086,0.22181468,0,9.46E+08,0,9.46E+08,2022-12-22T20:46
3602,Bitcoin SV,BSV,bitcoin-sv,FALSE,FALSE,19258814,2.10E+07,2018-11-09T00:00,184,40,2022-12-22T20:46,"[[""mineable""::""pow""::""sha-256""::""medium-of-exchange""::""store-of-value""::""state-channel""]]",44.90174272,2.33E+07,2.1345,1.0556563,0.6436043,-4.8486686,0,8.65E+08,0,9.43E+08,2022-12-22T20:46
2502,Huobi Token,HT,huobi-token,FALSE,FALSE,153357694,5.00E+08,2018-02-03T00:00,115,41,2022-12-22T20:46,"[[""marketplace""::""centralized-exchange""::""discount-token""::""payments""::""algorand-ecosystem""::""kenetic-capital-portfolio""::""alameda-research-portfolio""::""multicoin-capital-portfolio""]]",5.464164573,1.01E+07,-0.548,0.35022867,4.209654,-11.721302,0,8.38E+08,0,2.73E+09,2022-12-22T20:46
